epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4599,1.56782,2.26649,1.5233,0.09099,0.2,0.11008,0.05803,2.93084,11.2352,2.81874,0.000651852,0.000651852,0.000651852
2,63.1021,2.10833,2.67024,1.98523,0.07602,0.2,0.02338,0.00389,3.28601,8.67139,5.04141,0.00130547,0.00130547,0.00130547
3,95.4458,2.48113,3.52776,2.31274,0.03932,0.6,0.04249,0.01008,3.23975,63.2059,15.5306,0.00194588,0.00194588,0.00194588
4,131.503,2.72478,3.29383,2.46851,0.01368,0.9,0.02559,0.01049,3.04868,1105.35,64.0785,0.0019406,0.0019406,0.0019406
5,163.877,2.97355,3.59256,2.69012,0.00376,0.3,0.0025,0.00051,3.72851,214.442,13.9922,0.0019208,0.0019208,0.0019208
6,198.707,2.70017,3.0479,2.55573,0.06356,0.1,0.04756,0.00702,3.1642,3.46686,3.84393,0.001901,0.001901,0.001901
7,230.173,2.66263,2.69421,2.45013,0.00204,0.1,0.00112,0.00023,5.10014,70.7881,16.91,0.0018812,0.0018812,0.0018812
8,260.723,2.72022,2.85918,2.45255,0.00177,0.3,0.00174,0.00066,4.01321,1575.78,9.39892,0.0018614,0.0018614,0.0018614
9,290.577,2.61438,2.62527,2.38142,0.00139,0.3,0.00078,0.00016,4.45056,772.678,6.4756,0.0018416,0.0018416,0.0018416
10,320.012,2.38029,2.50705,2.26975,0,0,0,0,6.19578,238.456,7.43588,0.0018218,0.0018218,0.0018218
11,351.603,2.29058,2.43372,2.18052,0,0,0,0,5.13359,57.0658,18.5077,0.001802,0.001802,0.001802
12,381.301,2.25588,2.31162,2.20653,0.00325,0.1,0.00252,0.00062,5.31636,55.047,19.5425,0.0017822,0.0017822,0.0017822
13,410.625,2.25975,2.35049,2.21456,0.27599,0.2,0.15229,0.04712,2.39354,4.06072,2.39081,0.0017624,0.0017624,0.0017624
14,441.051,2.2008,2.35183,2.16258,0.19857,0.4,0.2221,0.06569,2.41902,3.2735,2.5677,0.0017426,0.0017426,0.0017426
15,472.107,2.08191,2.27735,2.04439,0.36863,0.3,0.38157,0.12854,2.0722,2.91038,2.08754,0.0017228,0.0017228,0.0017228
16,502.281,2.0585,2.19302,1.99321,0.2828,0.7,0.33555,0.12017,2.46986,5.00071,2.33585,0.001703,0.001703,0.001703
17,532.818,2.11634,2.26137,2.02374,0.37585,0.7,0.49701,0.16705,2.54994,2.44111,2.40684,0.0016832,0.0016832,0.0016832
18,563.985,2.02068,2.12184,1.96936,0.61281,0.7,0.63509,0.17294,2.2969,3.0228,2.20015,0.0016634,0.0016634,0.0016634
19,730.854,2.12212,2.19938,2.04694,0.60008,0.75225,0.69025,0.23599,2.03909,2.27653,1.94609,0.0016436,0.0016436,0.0016436
20,760.528,1.99498,2.1487,1.95684,0.74009,0.6,0.7109,0.26182,2.04962,2.28602,1.89326,0.0016238,0.0016238,0.0016238
21,789.666,2.01168,2.11646,1.90976,0.67585,0.5,0.57787,0.16568,2.47845,2.20927,2.26713,0.001604,0.001604,0.001604
22,817.809,1.9628,2.08227,1.85162,0.75514,0.7,0.69457,0.25886,2.31701,1.95369,2.18392,0.0015842,0.0015842,0.0015842
23,845.827,1.94877,2.04251,1.84907,0.52077,0.6,0.51528,0.20226,2.13687,2.38373,2.16388,0.0015644,0.0015644,0.0015644
24,873.957,1.90397,1.96285,1.80077,0.794,0.6,0.73895,0.24109,2.19038,1.80027,2.25381,0.0015446,0.0015446,0.0015446
25,902.155,1.92293,1.93947,1.82443,0.6767,0.5,0.51505,0.19286,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,931.523,1.86622,1.89311,1.82763,0.55017,0.7,0.53375,0.24463,2.00019,1.55892,1.81314,0.001505,0.001505,0.001505
27,961.471,1.92659,1.87281,1.83833,0.68554,0.9,0.66485,0.2561,1.9609,1.65479,1.84821,0.0014852,0.0014852,0.0014852
28,991.246,1.79468,1.78754,1.75341,0.538,0.8,0.56048,0.26442,2.02073,1.57979,1.96453,0.0014654,0.0014654,0.0014654
29,1022.02,1.82693,1.87073,1.7845,0.67812,1,0.8204,0.29611,2.02856,1.60113,1.89868,0.0014456,0.0014456,0.0014456
30,1053.36,1.7802,1.80913,1.70914,0.65895,0.8,0.76617,0.3126,2.2213,1.58304,2.02246,0.0014258,0.0014258,0.0014258
31,1082.85,1.77333,1.80797,1.74622,0.61129,0.8,0.68836,0.23249,2.72707,1.71589,2.43131,0.001406,0.001406,0.001406
32,1112.97,1.76892,1.80152,1.67977,0.60974,0.6,0.58028,0.28182,2.36226,1.71336,2.35047,0.0013862,0.0013862,0.0013862
33,1142.52,1.84706,1.90186,1.74357,0.67008,0.61023,0.70458,0.29186,2.20319,1.55465,1.84029,0.0013664,0.0013664,0.0013664
34,1172.74,1.80952,1.89204,1.77222,0.5548,0.7,0.6372,0.28857,2.0194,1.82633,1.8598,0.0013466,0.0013466,0.0013466
35,1202.82,1.83494,1.815,1.75916,0.57232,0.6,0.53956,0.22417,2.11911,1.80934,1.97107,0.0013268,0.0013268,0.0013268
36,1232.41,1.76414,1.79065,1.72063,0.65917,0.6,0.61773,0.32269,1.89638,1.53869,1.88543,0.001307,0.001307,0.001307
37,1261.77,1.63951,1.6895,1.63927,0.68378,0.7,0.67063,0.31568,1.97181,1.51046,1.73071,0.0012872,0.0012872,0.0012872
38,1290.86,1.66501,1.70957,1.62178,0.72492,0.5,0.54807,0.27381,2.1916,1.89243,1.88783,0.0012674,0.0012674,0.0012674
39,1320.14,1.67075,1.63225,1.61776,0.6896,0.6,0.58055,0.27453,2.10439,2.09461,1.82121,0.0012476,0.0012476,0.0012476
40,1349.3,1.6066,1.62388,1.5946,0.6873,0.9,0.82952,0.3166,2.04894,1.37974,1.72319,0.0012278,0.0012278,0.0012278
41,1379.24,1.63863,1.62462,1.57882,0.6859,0.7,0.75061,0.38709,2.27865,1.29118,2.15351,0.001208,0.001208,0.001208
42,1409.51,1.68255,1.72554,1.65972,0.70156,0.70572,0.74293,0.35863,2.31743,1.28605,2.34176,0.0011882,0.0011882,0.0011882
43,1439.9,1.63254,1.62844,1.61375,0.65824,0.8,0.63076,0.27195,2.47673,1.49873,2.54307,0.0011684,0.0011684,0.0011684
44,1468.71,1.68101,1.67471,1.6529,0.66232,0.78564,0.56619,0.28152,2.26483,1.71862,2.28151,0.0011486,0.0011486,0.0011486
45,1497.65,1.62481,1.62568,1.57507,0.45028,0.5,0.48774,0.20816,2.45602,1.6967,2.3332,0.0011288,0.0011288,0.0011288
46,1526.91,1.63241,1.68746,1.58326,0.71975,0.6,0.705,0.26577,2.37399,1.54027,2.32397,0.001109,0.001109,0.001109
47,1556.96,1.65928,1.64758,1.61252,0.76901,0.7,0.76555,0.3098,2.2064,1.34094,2.27682,0.0010892,0.0010892,0.0010892
48,1585.98,1.69738,1.65137,1.6278,0.63462,0.8,0.73667,0.38202,2.07351,1.44132,2.21223,0.0010694,0.0010694,0.0010694
49,1616.1,1.61733,1.54091,1.55737,0.77851,0.8,0.71862,0.3849,1.99753,1.62125,2.10243,0.0010496,0.0010496,0.0010496
50,1647.93,1.61495,1.56615,1.56243,0.71951,0.7,0.69709,0.26926,2.2446,1.92841,2.28266,0.0010298,0.0010298,0.0010298
51,1678.59,1.59912,1.60569,1.56018,0.87807,0.7221,0.72109,0.26973,2.29569,1.70623,2.26378,0.00101,0.00101,0.00101
52,1708.8,1.52232,1.58821,1.56535,0.64983,0.8,0.67529,0.23603,2.27767,1.56881,2.06259,0.0009902,0.0009902,0.0009902
53,1739.01,1.55603,1.563,1.58413,0.72849,0.8,0.77688,0.29597,2.50657,1.47584,2.09435,0.0009704,0.0009704,0.0009704
54,1769.15,1.56315,1.51407,1.56726,0.68739,0.8,0.68485,0.34993,2.20398,1.46618,1.95096,0.0009506,0.0009506,0.0009506
55,1799.82,1.57281,1.47684,1.55431,0.70353,0.8,0.64464,0.34452,1.95882,1.31946,1.90944,0.0009308,0.0009308,0.0009308
56,1828.69,1.59948,1.55928,1.61525,0.6551,0.8,0.65026,0.35804,1.95618,1.25816,1.94697,0.000911,0.000911,0.000911
57,1857.73,1.5244,1.464,1.52372,0.64589,0.8,0.67538,0.34391,2.02664,1.30672,2.06099,0.0008912,0.0008912,0.0008912
58,1886.95,1.49142,1.43917,1.50304,0.62727,0.7,0.55157,0.2392,2.25744,1.42707,2.22787,0.0008714,0.0008714,0.0008714
59,1916.14,1.50303,1.4429,1.53547,0.58742,0.8,0.60825,0.26227,2.24192,1.59647,2.21428,0.0008516,0.0008516,0.0008516
60,1946.1,1.46015,1.42516,1.52075,0.50107,0.7,0.51011,0.27691,2.04529,1.78521,2.11446,0.0008318,0.0008318,0.0008318
61,1975.89,1.46657,1.45918,1.51753,0.72444,0.9,0.77728,0.37601,2.05454,1.45277,2.04466,0.000812,0.000812,0.000812
62,2005.69,1.35996,1.37067,1.46989,0.80923,0.85079,0.82235,0.41806,1.97851,1.34871,2.0113,0.0007922,0.0007922,0.0007922
63,2035.01,1.53424,1.49059,1.55123,0.86299,0.9,0.91278,0.46312,2.06697,1.17034,1.86783,0.0007724,0.0007724,0.0007724
64,2065.08,1.4747,1.45489,1.50297,0.85077,0.9,0.87038,0.45722,1.96098,1.15348,1.7658,0.0007526,0.0007526,0.0007526
65,2095.11,1.47867,1.3953,1.48824,0.73305,0.8,0.77323,0.4009,2.01503,1.33647,2.01256,0.0007328,0.0007328,0.0007328
66,2124.45,1.46139,1.47574,1.50363,0.74363,0.9,0.82642,0.40795,1.98551,1.41218,1.89012,0.000713,0.000713,0.000713
67,2155.04,1.41256,1.41638,1.48725,0.76516,0.8,0.73356,0.40306,1.88434,1.33833,1.90995,0.0006932,0.0006932,0.0006932
68,2184.91,1.35307,1.36587,1.41703,0.72601,0.8,0.71246,0.36956,1.83632,1.30806,1.96732,0.0006734,0.0006734,0.0006734
69,2215.15,1.43729,1.48273,1.52764,0.70881,0.7,0.78322,0.38224,1.93256,1.40358,1.98733,0.0006536,0.0006536,0.0006536
70,2245.09,1.46689,1.4304,1.55646,0.74845,0.8,0.78,0.36669,1.97373,1.34728,1.86004,0.0006338,0.0006338,0.0006338
71,2274.54,1.34066,1.29317,1.43649,0.80195,0.9,0.75779,0.43579,1.86906,1.30784,1.7936,0.000614,0.000614,0.000614
72,2304.26,1.31058,1.29593,1.38737,0.88694,0.9,0.80852,0.42067,1.80941,1.30758,1.7351,0.0005942,0.0005942,0.0005942
73,2333.18,1.39057,1.4468,1.47457,0.78423,0.8,0.73109,0.38221,1.8162,1.38515,1.65882,0.0005744,0.0005744,0.0005744
74,2363.18,1.35516,1.30228,1.41024,0.75486,0.8,0.73549,0.35901,1.85334,1.30517,1.74647,0.0005546,0.0005546,0.0005546
75,2393.28,1.30497,1.31354,1.38719,0.64599,0.73178,0.62057,0.40447,1.78251,1.1538,1.83022,0.0005348,0.0005348,0.0005348
76,2423.33,1.40612,1.31442,1.45995,0.69562,0.8,0.66019,0.42226,1.70543,1.10695,1.73757,0.000515,0.000515,0.000515
77,2453.08,1.37577,1.34568,1.44506,0.69795,0.8,0.64221,0.38357,1.744,1.13931,1.79351,0.0004952,0.0004952,0.0004952
78,2483.33,1.31347,1.20411,1.39392,0.8794,0.9,0.83423,0.44,1.75714,1.1187,1.75812,0.0004754,0.0004754,0.0004754
79,2511.79,1.27419,1.2674,1.36822,0.88005,0.9,0.82137,0.42145,1.8071,1.12387,1.76587,0.0004556,0.0004556,0.0004556
80,2540.91,1.33548,1.30865,1.43577,0.80314,0.9,0.78373,0.47419,1.75846,1.09174,1.68772,0.0004358,0.0004358,0.0004358
81,2569.39,1.29276,1.24307,1.40158,0.77852,0.9,0.79406,0.48191,1.65053,1.14071,1.66189,0.000416,0.000416,0.000416
82,2598.68,1.27491,1.31656,1.39344,0.68908,0.9,0.75286,0.41839,1.66529,1.22996,1.69729,0.0003962,0.0003962,0.0003962
83,2626.63,1.37761,1.34683,1.4507,0.79992,0.7,0.73784,0.39869,1.70799,1.31553,1.76914,0.0003764,0.0003764,0.0003764
84,2657.79,1.25733,1.17935,1.37286,0.74777,0.8902,0.76421,0.41112,1.64385,1.32504,1.72564,0.0003566,0.0003566,0.0003566
85,2688.15,1.3129,1.27607,1.3976,0.72541,0.9,0.76598,0.46519,1.65089,1.23133,1.61695,0.0003368,0.0003368,0.0003368
86,2718,1.28764,1.25605,1.40323,0.73915,0.9,0.77782,0.45898,1.63749,1.21536,1.58169,0.000317,0.000317,0.000317
87,2747.78,1.31966,1.25784,1.44771,0.74921,0.9,0.79023,0.53194,1.54666,1.08164,1.54869,0.0002972,0.0002972,0.0002972
88,2778.19,1.28666,1.20569,1.3746,0.74689,0.9,0.81165,0.51123,1.54964,1.11116,1.54292,0.0002774,0.0002774,0.0002774
89,2808.47,1.2155,1.17033,1.3446,0.79763,0.9,0.81201,0.52083,1.56896,1.06302,1.54222,0.0002576,0.0002576,0.0002576
90,2838.52,1.27788,1.20625,1.37117,0.73558,0.83656,0.80709,0.51793,1.53731,1.03652,1.55548,0.0002378,0.0002378,0.0002378
91,2868.13,1.15337,1.2337,1.28202,0.79698,0.9,0.75326,0.43878,1.67075,1.08788,1.72973,0.000218,0.000218,0.000218
92,2898.4,1.10007,1.17446,1.31219,0.7916,0.9,0.74506,0.40541,1.59614,1.16923,1.58152,0.0001982,0.0001982,0.0001982
93,2926.69,1.10974,1.10749,1.30624,0.79833,0.9,0.76095,0.41362,1.57588,1.12775,1.57432,0.0001784,0.0001784,0.0001784
94,2955.43,1.04378,1.16343,1.25073,0.80801,0.9,0.81308,0.42443,1.58333,1.12703,1.54711,0.0001586,0.0001586,0.0001586
95,2984.75,1.06912,1.04221,1.25892,0.89736,0.87624,0.81849,0.49013,1.50946,1.09676,1.50761,0.0001388,0.0001388,0.0001388
96,3013.51,1.02398,1.0147,1.22718,0.80575,0.9,0.78176,0.46373,1.51085,1.09245,1.53988,0.000119,0.000119,0.000119
97,3043.15,1.06174,1.02386,1.28247,0.80945,0.9,0.78186,0.46565,1.50275,1.07515,1.5199,9.92e-05,9.92e-05,9.92e-05
98,3074.27,0.96899,0.93997,1.16148,0.81059,0.9,0.78715,0.46033,1.52033,1.11076,1.53064,7.94e-05,7.94e-05,7.94e-05
99,3105.07,1.04539,0.98174,1.24066,0.81163,0.9,0.80543,0.46868,1.48879,1.09081,1.51175,5.96e-05,5.96e-05,5.96e-05
100,3135.27,0.95389,0.9294,1.15966,0.81343,0.87387,0.80634,0.46552,1.44508,1.08147,1.4732,3.98e-05,3.98e-05,3.98e-05
